24th of May 2023 - Flett Theatre at the Natural History Museum,,,
Starting Time,Ending Time,Activity,Author
14:30,14:45,Machine Learning & Computer Vision for Automatic Label Extraction from Pinned Specimens,Arianna Salili-James
14:45,15:00,Provably Correct Physics-Informed Neural Networks,Francisco Girbal Eiras 
15:00,15:10,Building multi-purpose models for the next generation of radio astronomy with self-supervised learning.,Inigo Val Slijepcevic
15:10,15:20,Certifying Ensembles: A General Certification Theory with S-Lipschitzness,Aleksandar Petrov
15:20,15:30,Break,
15:30,15:45,Template-based Abstractive Microblog Opinion Summarization,Iman Bilal
15:45,16:00,Language disparities in tokenization: A case for tokenization parity,Aleksandar Petrov
16:00,16:10,A Road from Static Datasets To Computationally Efficient Learning from Streams on Internet Scale,Ameya Prabhu
16:10,16:20,Label Alignment for Distribution Shift Problems,Yangchen Pan
16:20,16:30,Real-world Machine Learning Systems: A survey from a Data-Oriented Architecture Perspective,Christian Cabrera
